Entity,Code,Year,"Time spent on leisure, social, and associative life (Eurostat)",Population (historical estimates)
Finland,FIN,2010,365.25363,5363279
Norway,NOR,2010,353.2453,4889747
Germany,DEU,2010,351,81325088
Norway,NOR,2000,346.72235,4491204
Greece,GRC,2010,344,11033784
Belgium,BEL,2010,341,10877948
Finland,FIN,2000,338.82355,5176208
Netherlands,NLD,2010,334,16617121
Belgium,BEL,2000,331.46036,10264351
Germany,DEU,2000,329.37241,81551680
Serbia,SRB,2010,329,7653749
Turkey,TUR,2010,327,73195352
Estonia,EST,2010,323,1331535
United Kingdom,GBR,2010,314.7814,62760048
Spain,ESP,2010,311,46572776
United Kingdom,GBR,2000,309.93713,58850044
Austria,AUT,2010,306,8362829
France,FRA,2010,303,62444568
Poland,POL,2010,302,38597356
Hungary,HUN,2010,300,9986832
Slovenia,SVN,2000,299.20776,1984339
Poland,POL,2000,296.02789,38504432
Italy,ITA,2010,294,59822452
Spain,ESP,2000,291.40472,40741652
Estonia,EST,2000,278.58038,1396881
Italy,ITA,2000,275.57413,56966400
Luxembourg,LUX,2010,274.80914,507075
Romania,ROU,2010,266,20335212
Latvia,LVA,2000,265.55325,2392536
France,FRA,2000,264.36719,58665456
Bulgaria,BGR,2000,255.35466,8097694
Lithuania,LTU,2000,253.5282,3599639
